"id","kd_kbki_2015","judul_kbki_2015","kd_kbli_2020"
1,"0111100001","Gandum durum, biji","01112"
2,"0111100999","Gandum biji, lainnya","01112"
3,"0111200001",Gandum gagang,"01112"
4,"0111200002",Meslin untuk konsumsi manusia,"01112"
5,"0111200003",Meslin lainnya,"01112"
6,"0111200004",Biji gandum tanpa cangkang,"01112"
7,"0111200999",Gandum lainnya,"01112"
8,"0112100000",Benih jagung,"01111"
9,"0112201001",Jagung  ontongan basah dengan tangkai dan kulit,"01111"
10,"0112201002",Jagung  ontongan kering dengan tangkai dan kulit,"01111"
11,"0112201003",Jagung  ontongan kering panen tanpa tangkai dan kulit,"01111"
12,"0112201004",Jagung  pipilan kering,"01111"
13,"0112202001",Jagung ontongan basah dengan tangkai dan kulit,"01111"
14,"0112202002",Jagung kering dengan tangkai dan kulit,"01111"
15,"0112202003",Jagung kering panen tanpa tangkai dan kulit,"01111"
16,"0112202004",Jagung pipilan kering,"01111"
17,"0112203001",Jagung ontongan basah dengan tangkai dan kulit,"01111"
18,"0112203002",Jagung ontongan kering dengan tangkai dan kulit,"01111"
19,"0112203003",Jagung ontongan kering panen tanpa tangkai dan kulit,"01111"
20,"0112203004",Jagung pipilan kering,"01111"
21,"0112204001",Jagung manis ontongan basah dengan kulit (sweet corn),"01139"
22,"0112204002",Jagung tidak manis ontongan basah dengan kulit (fod corn),"01111"
23,"0112204999",Jagung muda lainnya,"01111"
24,"0112205000",Baby corn,"01111"
25,"0112206000",Jagung brondong (popcorn),"01111"
26,"0112298001",Daun jagung,"01111"
27,"0112298002",Batang jagung,"01111"
28,"0112298003",Kulit  jagung,"01111"
29,"0112298004",Tongkol jagung,"01111"
30,"0112299000","Jagung, lainnya","01111"
31,"0113100001",Benih padi varietas unggul bersertifikat,"01121"
32,"0113100001",Benih padi varietas unggul bersertifikat,"01122"
33,"0113100002",Benih padi varietas unggul tidak bersertifikat,"01121"
34,"0113100002",Benih padi varietas unggul tidak bersertifikat,"01122"
35,"0113100003",Benih padi lokal,"01121"
36,"0113100003",Benih padi lokal,"01122"
37,"0113100999",Benih padi lainnya,"01121"
38,"0113100999",Benih padi lainnya,"01122"
39,"0113201001",Gabah kering panen,"01121"
40,"0113201001",Gabah kering panen,"01122"
41,"0113201002",Gabah kering giling,"01121"
42,"0113201002",Gabah kering giling,"01122"
43,"0113201999",Padi lainnya,"01121"
44,"0113201999",Padi lainnya,"01122"
45,"0113202001",Padi  gagang basah,"01121"
46,"0113202001",Padi  gagang basah,"01122"
47,"0113202002",Padi gagang kering,"01121"
48,"0113202002",Padi gagang kering,"01122"
49,"0113202003",Gabah kering panen,"01121"
50,"0113202003",Gabah kering panen,"01122"
51,"0113202004",Gabah kering giling,"01121"
52,"0113202004",Gabah kering giling,"01122"
53,"0113202999","Padi, lainnya","01121"
54,"0113202999","Padi, lainnya","01122"
55,"0113298001",Merang,"01121"
56,"0113298001",Merang,"01122"
57,"0113298999",Hasil ikutan pertanian padi lainnya,"01121"
58,"0113298999",Hasil ikutan pertanian padi lainnya,"01122"
59,"0113299000",Padi lainnya (tidak digiling),"01121"
