"kategori","judul_kategori","golongan_pokok","judul_golongan_pokok","golongan","judul_golongan","subgolongan","judul_subgolongan","kelompok","judul_kelompok"
A,"Pertanian, Kehutanan dan Perikanan","01","Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI","011",Pertanian Tanaman Semusim,"0111","Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak","01111",Pertanian Jagung
A,"Pertanian, Kehutanan dan Perikanan","01","Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI","011",Pertanian Tanaman Semusim,"0111","Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak","01112",Pertanian Gandum
A,"Pertanian, Kehutanan dan Perikanan","01","Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI","011",Pertanian Tanaman Semusim,"0111","Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak","01113",Pertanian Kedelai
A,"Pertanian, Kehutanan dan Perikanan","01","Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI","011",Pertanian Tanaman Semusim,"0111","Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak","01114",Pertanian Kacang Tanah
A,"Pertanian, Kehutanan dan Perikanan","01","Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI","011",Pertanian Tanaman Semusim,"0111","Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak","01115",Pertanian Kacang Hijau
A,"Pertanian, Kehutanan dan Perikanan","01","Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI","011",Pertanian Tanaman Semusim,"0111","Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak","01116",Pertanian Aneka Kacang Hortikultura
A,"Pertanian, Kehutanan dan Perikanan","01","Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI","011",Pertanian Tanaman Semusim,"0111","Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak","01117",Pertanian Biji-bijian Penghasil Minyak Makan
A,"Pertanian, Kehutanan dan Perikanan","01","Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI","011",Pertanian Tanaman Semusim,"0111","Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak","01118",Pertanian Biji-bijian Penghasil Bukan Minyak Makan
A,"Pertanian, Kehutanan dan Perikanan","01","Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI","011",Pertanian Tanaman Semusim,"0111","Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak","01119","Pertanian Serealia Lainnya, Aneka Kacang dan Biji-Bijian Penghasil Minyak Lainnya"
A,"Pertanian, Kehutanan dan Perikanan","01","Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI","011",Pertanian Tanaman Semusim,"0112",Pertanian Padi,"01121",Pertanian Padi Hibrida
